Year,Service,Multi.Service ,Other.Service,Investment.Type,Type.Book,Wheeled Vehicles,P1.Line.Item.Number,System.Title,Anomalous,MDAP,Unit.Cost.Millions,Current.Year Gross.Cost.Millions,FY2020.Procurement ,Inventory.Objective ,Peacetime.Production ,Efficiency.Production ,Surge.Rate.Years,Surge.Rate.Months,Surge.Rate.Leadtime.Years,Surge.Rate.Leadtime.1-8-5.Years,Adjusted.Surge.Rate.Years,Agg.MSR.Years,Agg.1-8-5.Years,Agg.Max.Years,Avg.Production.Leadtime. Years,Avg.Production.Leadtime. Months
1999,Army,0,NA,CRI,Other,Other Programs,K35000,"INFRARED AIMING LIGHT, AN/PAQ-4 ",0,Non-MDAP,NA,NA,NA,43927,NA,1.407916667,0.653675595,7.844107143,1.15,0.42,0.92,9600,31200,67200,0.5,6
1999,Army,0,NA,CRI,Other,Other Programs,K30800,LTWT VIDEO RECON SYSTEM (LWVRS) ,0,Non-MDAP,0.030909091,3.4,110,1587,14.42727273,NA,NA,NA,NA,NA,NA,0,0,0,0.666666667,8
1999,Army,0,NA,CRI,Other,Other Programs,K22900,"NIGHT VISION, THERMAL WPN SIGHT",0,Non-MDAP,0.023718791,36.1,1522,34062,22.37976347,13.91421569,8.8703125,106.44375,10.12,8.07,9.32,1200,2448,3840,1.25,15
1999,Army,0,NA,CRI,Other,Other Programs,K27800,METEOROLOGICAL MEASURING SYS,0,Non-MDAP,NA,NA,NA,141,NA,5.875,2.9375,35.25,3.77,2.52,3.35,12,24,48,0.833333333,10
1999,Army,0,NA,GS,Other,Other Programs,AD3250,ARTY MUZZLE VELOCITY SYSTEM,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,300,420,1.25,15
1999,Army,0,NA,GS,Other,Other Programs,BZ5269,CALIBRATION SETS EQUIPMENT,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492,972,1452,0.291666667,3.5
1999,Army,0,NA,MSA,Other,Other Programs,BZ5270,TEST EQUIPMENT MODERNIZATION (TEMOD) ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720,2700,5160,1.416666667,17
1999,Army,0,NA,C4I,Other,Other Programs,BB8501,DSCS - DIGITAL EQUIPMENT (SPACE) ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,888,2616,0.416666667,5
1999,Army,0,NA,C4I,Other,Other Programs,BA8300,DSCS - JAM RESISTANT SECURE COMM (JRSC),0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,360,672,1.222222222,14.66666667
1999,Army,0,NA,C4I,Other,Other Programs,BB8509,DSCS - OPERATIONS CONTROL SYS (DOCS),0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,744,1116,0.9375,11.25
1999,Army,0,NA,C4I,Other,Other Programs,K99200,COMPUTER BALLISTICS; XM-30,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,3600,10800,0.5,6
1999,Army,0,NA,C4I,Other,Other Programs,BU1400,ARMY DATA DISTRIBUTION SYSTEM (ADDS),0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140,3600,6000,1.166666667,14
1999,Army,0,NA,C4I,Other,Other Programs,J30500,SINCGARS - AIRBORNE,1,MDAP,NA,NA,NA,184675,NA,102.5972222,78.92094017,947.0512821,80.17,77.96,79.21,720,1800,2340,1.25,15
1999,Army,0,NA,C4I,Other,Other Programs,B00500,SINCGARS - GROUND,0,MDAP,NA,NA,NA,85709,NA,2.597242424,1.995088454,23.94106145,3.33,0.97,2.3,13200,33000,42960,1.333333333,16
1999,Army,0,NA,C4I,Other,Other Programs,Z16800,BATTLEFIELD ELECTRONIC COMM SYS (BECS) ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1536,16872,42180,0.666666667,8
1999,Army,0,NA,C4I,Other,Other Programs,BA1010,JOINT TACTICAL AREA COMMS SYS ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,5004,7500,0.75,9
1999,Army,0,NA,C4I,Other,Other Programs,BA1205,TAC RADIO,0,Non-MDAP,NA,NA,NA,1620,NA,1.227272727,1.038461538,12.46153846,2.12,0.12,1.21,420,1320,1560,1.083333333,13
1999,Army,0,NA,C4I,Other,Other Programs,VA8000,SHORTSTOP,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,60,96,1,12
1999,Army,0,NA,C4I,Other,Other Programs,B03200,COMBAT SURVIVOR EVADER LOCATOR (CSEL) ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.333333333,16
1999,Army,0,NA,C4I,Other,Other Programs,B78500,STRIKER-COMMAND AND CONTROL SYSTEM,0,Non-MDAP,0.4,6,15,251,16.73333333,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1999,Army,0,NA,C4I,Other,Other Programs,V29600,JTT/CIBS-M (TIARA) ,0,Non-MDAP,0.252380952,5.3,21,655,31.19047619,2.183333333,1.137152778,13.64583333,2.64,0.36,1.86,48,300,576,1.5,18
1999,Army,0,NA,C4I,Other,Other Programs,BZ7326,IEW - GND BASE COMMON SENSORS (TIARA) ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,48,96,1.25,15
1999,Army,0,NA,MSA,Other,Other Programs,A30000,GUN LAYING AND POS SYS (GLPS),0,Non-MDAP,0.093650794,11.8,126,494,3.920634921,8.233333333,2.744444444,32.93333333,3.91,2.36,3.52,24,60,180,1.166666667,14
1999,Army,0,NA,MSA,Other,Other Programs,BA1080,JOINT STARS (ARMY) (TIARA),0,MDAP,4.36,87.2,20,139,6.95,5.791666667,3.861111111,46.33333333,5.03,3.08,4.25,12,24,36,1.166666667,14
1999,Army,0,NA,MSA,Other,Other Programs,BX0007,ISYSCON EQUIPMENT,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,24,60,0,0
1999,Army,0,NA,MSA,Other,Other Programs,BA0333,TROJAN SPIRIT - TERMINALS (TIARA),0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,36,0.083333333,1
1999,Army,0,NA,C4I,Other,Other Programs,BA9350,SHF TERM,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,48,84,0.666666667,8
1999,Army,0,NA,SBS,Other,Other Programs,K77200,"SAT TERM, EMUT (SPACE)",0,Non-MDAP,NA,NA,NA,2275,NA,1.263888889,1.263888889,15.16666667,3.1,-0.57,1.26,900,1800,1800,1.833333333,22
1999,Army,0,NA,SBS,Other,Other Programs,K47800,NAVSTAR GLOBAL POSITIONING SYSTEM (SPACE),0,MDAP,0.492857143,6.9,14,233120,16651.42857,8.770504138,6.37985769,76.55829228,7,5.93,6.55,5412,26580,36540,0.625,7.5
1999,Army,0,NA,SBS,Other,Other Programs,BC4002,SMART-T (SPACE),0,MDAP,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,24
1999,Army,0,NA,SBS,Other,Other Programs,BC4003,SCAMP (SPACE) ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,480,960,1.916666667,23
1999,Army,0,NA,SBS,Other,Other Programs,BC4120,GLOBAL BRDCST SVC - GBS,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,264,408,1,12
1999,Army,0,NA,C4I,Other,Other Programs,BZ9962,STANDARD INTEGRATED CMD POST SYSTEM,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080,2340,5220,0.866666667,10.4
1999,Army,0,NA,C4I,Other,Other Programs,WK5053,SENTINEL (FAAD GBS) ,0,Non-MDAP,2.530434783,58.2,23,144,6.260869565,4,3,36,4.25,2.06,3.31,12,36,48,1.25,15
1999,Army,0,NA,C4I,Other,Other Programs,BA1201,TSEC - ARMY KEY MGT SYS (AKMS) ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,5904,12000,1.083333333,13
1999,Army,0,NA,C4I,Other,Other Programs,KA6000,RECONFIGURABLE SIMULATORS,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,36,0,0
1999,Army,0,NA,C4I,Other,Other Programs,MA0782,ICIDS (OPA3) ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.166666667,2
1999,Army,0,NA,C4I,Other,Other Programs,N10000,CALIBRATION SETS EQUIPMENT,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176,2316,4116,0.226190476,2.714285714
1999,Army,0,NA,C4I,Other,Other Programs,MB4001,BASE SHOP TEST FACILITY,0,Non-MDAP,3.32,16.6,5,17,3.4,0.708333333,0.354166667,4.25,2.69,-0.81,1.52,12,24,48,2.333333333,28
1999,Army,0,NA,C4I,Other,Other Programs,MB4002,CONTACT TEST SET (SPORT) ,0,Non-MDAP,0.010741921,23.6,2197,17966,8.177514793,7.485833333,4.277619048,51.33142857,5.53,3.56,4.81,360,2400,4200,1.25,15
1999,Army,0,NA,C4I,Other,Other Programs,MB4003,ELECTRO-OPTIC EQUIPMENT,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,24,48,1.416666667,17
1999,Army,0,NA,C4I,Other,Other Programs,MF9300,AIR CONDITIONERS VARIOUS SIZE/CAPACITY,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,9600,12000,0.958333333,11.5
1999,Army,0,NA,MSA,Other,Other Programs,NA,2 KW MILITARY TACTICAL GENERATOR,0,Non-MDAP,0.00440281,9.4,2135,8393,3.931147541,1.554259259,0.700116783,8.401401401,1.37,0.4,1.07,1200,5400,11988,0.666666667,8
1999,Army,0,NA,MSA,Other,Other Programs,NA,3KW TACTICAL QUIET GENERATOR,0,Non-MDAP,0.009133333,13.7,1500,10924,7.282666667,2.022962963,0.911244578,10.93493493,1.91,0.46,1.46,1200,5400,11988,1,12
1999,Army,0,NA,MSA,Other,Other Programs,NA,5KW TACTICAL QUIET GENERATOR,0,Non-MDAP,0.010175439,14.5,1425,7436,5.218245614,1.652444444,0.826222222,9.914666667,1.83,0.33,1.33,1200,4500,9000,1,12
1999,Army,0,NA,MSA,Other,Other Programs,NA,10KW TACTICAL QUIET GENERATOR,0,Non-MDAP,0.011562224,13.1,1133,4311,3.80494263,0.958,0.479,5.748,1.48,-0.02,0.98,1200,4500,9000,1,12
1999,Army,0,NA,MSA,Other,Other Programs,NA,15KW TACTICAL QUIET GENERATOR,0,Non-MDAP,0.013414634,4.4,328,1327,4.045731707,0.368611111,0.147444444,1.769333333,1.15,-0.25,0.75,900,3600,9000,1,12
1999,Army,0,NA,MSA,Other,Other Programs,NA,30KW TACTICAL QUIET GENERATOR,0,Non-MDAP,0.018803419,2.2,117,842,7.196581197,0.175416667,0.093555556,1.122666667,1.09,-0.44,0.56,900,4800,9000,1,12
1999,Army,0,NA,MSA,Other,Other Programs,NA,60KW TACTICAL QUIET GENERATOR,0,Non-MDAP,0.020657277,4.4,213,1346,6.319248826,0.280416667,0.149555556,1.794666667,1.15,-0.38,0.62,900,4800,9000,1,12
1999,Army,0,NA,MSA,Other,Other Programs,NA,PRODUCTION OF POWER UNITS AND POWER PLANTS,0,Non-MDAP,0.010180624,18.6,1827,6927,3.791461412,1.443125,0.962083333,11.545,1.38,0.68,1.1,1800,4800,7200,0.416666667,5
1999,Army,0,NA,MSA,Other,Other Programs,MB2201,ELECTRONIC REPAIR SHELTER,0,Non-MDAP,1.85,3.7,2,10,5,0.833333333,0.833333333,10,1.58,0.08,0.83,12,12,12,0.75,9
1999,Army,0,NA,MSA,Other,Other Programs,M61500,SHOP EQ CONTACT MAINTENANCE TRK MTD (MYP),0,Non-MDAP,0.043888889,7.9,180,4793,26.62777778,9.985416667,3.994166667,47.93,4.79,3.68,4.47,96,480,1200,0.791666667,9.5
1999,Army,0,NA,MSA,Other,Other Programs,N11000,TEST EQUIPMENT MODERNIZATION (TEMOD),0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,1320,2520,1.208333333,14.5
1999,Army,0,NA,MSA,Other,Other Programs,MA6700,SPECIAL EQUIPMENT FOR USER TESTING,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,3000,9000,1.333333333,16
1999,Army,0,NA,MSA,Other,Other Programs,MA6601,JRTC Instrumentation System (JRTC-IS) ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,3.666666667,44
1999,Army,0,NA,MSA,Other,Other Programs,MA6601,JRTC MOUT II Phase II ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,60,360,0.5,6
1999,Army,0,NA,MSA,Other,Other Programs,MA6601,"CTC Opposing Forces Surrogate Vehicles
(OSV)",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,72,96,1.166666667,14
1999,Army,0,NA,MSA,Other,Other Programs,MA6601,CTC Opposing Forces Tracked Vehicles (OSTV),0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,0,1.083333333,13
1999,Army,0,NA,MSA,Other,Other Programs,M44500,"PUSHER TUG, SMALL",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,96,192,1.083333333,13
1999,Army,0,NA,MSA,Other,Other Programs,R02100,"DIST, BITUM MATERIAL 1500G TRK MTD",0,Non-MDAP,0.22,4.4,20,319,15.95,0.114583333,0.054924242,0.659090909,0.8,-0.3,0.45,60,2784,5808,0.75,9
1999,Army,0,NA,MSA,Other,Other Programs,NA0101,Multiple Integrated Laser Engagement System (MILES 2000) ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,22320,32640,1.666666667,20
1999,Army,0,NA,MSA,Other,Other Programs,NA0101,Air Ground Engagement System (AGES II) ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,360,1440,1.5,18
1999,Army,0,NA,MSA,Other,Other Programs,NA0101,Abrams Full-Crew Interactive Simulation Training (AFIST) ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,2040,5832,0.916666667,11
1999,Army,0,NA,MSA,Other,Other Programs,NA0101,Engagement Skills Trainer (EST),0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,120,300,0.333333333,4
1999,Army,0,NA,MSA,Other,Other Programs,NA0101,Tank Weapon Gun Sim Sys/Precision Gun Sys (TWGSS/PGS),0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2400,3600,0.5,6
1999,Army,0,NA,MSA,Other,Other Programs,NA0105,Range Modernization,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3060,6084,15204,0,0
1999,Army,0,NA,MSA,Other,Other Programs,NA0106,Simulated Area Weapons Effects-Radio Frequency (SAWE-RF) ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,8400,12600,0,0
1999,Army,0,NA,MSA,Other,Other Programs,M62700,"WELDING SHOP, TRAILER MTD",0,Non-MDAP,0.054545455,3,55,1964,35.70909091,20.45833333,8.183333333,98.2,8.77,7.95,8.53,60,96,240,0.583333333,7
1999,Army,0,NA,MSA,Other,Other Programs,M80100,"METALLIC MINE DETECTOR, VEHICLE MOUNTED",0,Non-MDAP,1.9,3.8,2,9,4.5,0.0375,0.015,0.18,0.35,-0.12,0.22,48,240,600,0.333333333,4
1999,Army,0,NA,MSA,Other,Other Programs,M32400,"FLOATING CRANE, 100-250 TON",0,Non-MDAP,NA,NA,NA,2,NA,0.041666667,0.020833333,0.25,0.94,-0.44,0.48,12,48,96,0.916666667,11
1999,Army,0,NA,MSA,Other,Other Programs,R03300,"ROLLER, VIBRATORY, SELF-PROPELLED (CCE)",0,Non-MDAP,NA,NA,NA,714,NA,1.983333333,1.19,14.28,1.61,0.94,1.36,120,360,600,0.416666667,5
1999,Army,0,NA,MSA,Other,Other Programs,M26800,"BRIDGE, FLOAT-RIBBON, TRANSPORTER",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,720,1080,0.694444444,8.333333333
1999,Army,0,NA,MSA,Other,Other Programs,M86400,"KITCHEN, CONTAINERIZED, FIELD",0,Non-MDAP,0.096103896,7.4,77,397,5.155844156,3.308333333,1.323333333,15.88,1.32,1.32,1.32,60,120,300,0,0
1999,Army,0,NA,MSA,Other,Other Programs,M11300,CONTAINERIZED MAINTENANCE FACILITY,0,Non-MDAP,5.3,5.3,1,2,2,0.041666667,0.033333333,0.4,0.78,-0.57,0.18,12,48,60,0.75,9
1999,Army,0,NA,MSA,Other,Other Programs,X01500,HYDRAULIC EXCAVATOR,0,Non-MDAP,0.246153846,6.4,26,135,5.192307692,1.125,0.75,9,1.33,0.36,0.94,36,120,180,0.583333333,7
1999,Army,0,NA,MSA,Other,Other Programs,M06100,DEPLOYABLE UNIVERSAL COMBAT EARTH MOVERS,0,Non-MDAP,0.408695652,9.4,23,161,7,3.354166667,1.341666667,16.1,2.01,1.08,1.74,12,48,120,0.666666667,8
1999,Army,0,NA,MSA,Other,Other Programs,R09800,RO/RO DISCHARGE PLATFORM,0,Non-MDAP,0.021875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,48,72,0,0
1999,Army,0,NA,MSA,Other,Other Programs,M66500,"Sanitation Center, Field Feeding",0,Non-MDAP,0.021875,1.4,64,1059,16.546875,2.20625,1.470833333,17.65,1.47,1.47,1.47,120,480,720,0,0
1999,Army,0,NA,MSA,Other,Other Programs,M37000,"RAILWAY CAR, FLAT, 100 TON",0,Non-MDAP,0.086486486,12.8,148,1035,6.993243243,0.616071429,0.43125,5.175,0.54,0.35,0.46,72,1680,2400,0.111111111,1.333333333
1999,Army,0,NA,MSA,Other,Other Programs,M61200,"PUMP ASSY, REGULATED, 350 GPM",0,Non-MDAP,0.04,0.4,10,479,47.9,0.798333333,0.399166667,4.79,0.73,0.23,0.57,120,600,1200,0.333333333,4
1999,Army,0,NA,MSA,Other,Other Programs,M41200,"TRUCK, FORK LIFT, DE, PT, RT, 50000 LB",0,Non-MDAP,0.203960396,20.6,101,808,8,4.208333333,2.693333333,32.32,3.15,2.4,2.86,24,192,300,0.458333333,5.5
1999,Army,0,NA,MSA,Other,Other Programs,R03000,"TRUCK, DUMP, 20T (CCE) ",0,Non-MDAP,0.201515152,13.3,66,1520,23.03030303,0.449172577,0.203644159,2.443729904,0.79,-0.06,0.52,360,3384,7464,0.583333333,7
1999,Army,0,NA,MSA,Other,Other Programs,M99103,GEN SMK MECH:MTRZD DUAL PURP M56,0,Non-MDAP,0.198684211,15.1,76,453,5.960526316,1.258333333,0.419444444,5.033333333,1.34,0.11,1.03,36,360,1080,0.916666667,11
1999,Army,0,NA,MSA,Other,Other Programs,M99107,"GENERATOR, SMOKE, MECH M58",0,Non-MDAP,0.278947368,10.6,38,280,7.368421053,0.777777778,0.259259259,3.111111111,1.34,-0.1,0.98,36,360,1080,1.083333333,13
1999,Army,0,NA,MSA,Other,Other Programs,M15700,SMALL MOBILE WATER CHILLER (SMWC),0,Non-MDAP,0.009354839,2.9,310,1819,5.867741935,1.515833333,0.947395833,11.36875,2.86,-0.25,1.67,480,1200,1920,1.916666667,23
1999,Army,0,NA,MSA,Other,Other Programs,M07000,"CRUSHING/SCREENING PLANT, 150 TPH",0,Non-MDAP,1.9,3.8,2,14,7,1.166666667,1.166666667,14,1.42,0.92,1.17,12,12,12,0.25,3
1999,Army,0,NA,MSA,Other,Other Programs,G70700,LT VEH OBSCURANT SMK SYS,0,Non-MDAP,0.001946678,4.6,2363,3778,1.598815066,1.259333333,0.419777778,5.037333333,1,0.23,0.81,240,3000,9000,0.583333333,7
1999,Army,0,NA,MSA,Other,Other Programs,NA0170,SIMNET/CLOSE COMBAT TACTICAL TRAINER,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,120,300,0,0
1999,Army,0,NA,MSA,Other,Other Programs,NA0174,FIRE SUPPORT COMBINED ARMS TACTICAL TRAI,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,60,96,0.833333333,10
1999,Army,0,NA,MSA,Other,Wheeled Vehicles,M15800,"TRUCK, FIREFIGHTING, MULTI-PURPOSE",0,Non-MDAP,0.283333333,1.7,6,54,9,0.45,0.18,2.16,0.6,0.01,0.43,12,120,300,0.416666667,5
1999,Army,0,NA,MSA,Other,Other Programs,M41800,ALL TERRAIN LIFTING ARTICULATING SYSTEM,0,Non-MDAP,0.323404255,15.2,47,1111,23.63829787,3.086111111,1.543055556,18.51666667,1.96,1.33,1.75,60,360,720,0.416666667,5
1999,Army,0,NA,MSA,Other,Wheeled Vehicles,X00800,"CRANE, WHEEL MTD, 25T, 3/4 CU YD, RT",0,Non-MDAP,0.246808511,11.6,47,3059,65.08510638,25.49166667,12.74583333,152.95,13.58,12.33,13.16,12,120,240,0.833333333,10
1999,Army,0,NA,MSA,Other,Other Programs,MX0003,DEPLOYABLE MEDICAL SYSTEMS (DEPMEDS) ,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,660,1440,0.666666667,8
1999,Army,0,NA,MSA,Other,Other Programs,MB1100,FIELD MEDICAL EQUIPMENT,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000,9600,12000,0.333333333,4
1999,Army,0,NA,MSA,Other,Other Programs,R21800,FORWARD AREA REFUELING SYS ADV AVIATION,0,Non-MDAP,0.294444444,5.3,18,102,5.666666667,2.125,1.0625,12.75,2.23,0.48,1.65,12,48,96,1.166666667,14
1999,Army,0,NA,MSA,Other,Wheeled Vehicles,X00900,ROUGH TERRAIN CONTAINER CRANE,0,Non-MDAP,0.453333333,13.6,30,328,10.93333333,2.733333333,1.366666667,16.4,1.87,1.12,1.62,36,120,240,0.5,6
1999,Army,0,NA,MSA,Other,Other Programs,M19600,"ARMY SPACE HEATER, 120,000 BTU (ASH) ",0,Non-MDAP,0.01,1.1,110,2297,20.88181818,0.966750842,0.638055556,7.656666667,1.26,0.23,0.85,1200,2376,3600,0.625,7.5
1999,Army,0,NA,MSA,Other,Wheeled Vehicles,NA,LAUNDRY ADVANCED SYSTEM (LADS),0,Non-MDAP,0.514285714,7.2,14,122,8.714285714,2.033333333,1.270833333,15.25,1.27,1.27,1.27,24,60,96,0,0
1999,Army,0,NA,MSA,Other,Other Programs,M72100,"FLOODLIGHT SET, ELEC, TRL MTD, 4 LIGHTS",0,Non-MDAP,0.016814159,1.9,113,1634,14.46017699,5.446666667,1.361666667,16.34,1.36,1.36,1.36,300,300,1200,0,0
1999,Army,0,NA,MSA,Other,Wheeled Vehicles,M05900,ARMORED COMBAT EARTHMOVER,0,Non-MDAP,NA,NA,NA,518,NA,6.166666667,3.083333333,37,3.08,3.08,3.08,12,84,168,0,0
1999,Army,0,NA,MSA,Other,Other Programs,MA6800,SOLDIER ENHANCEMENT,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,4500,11700,0.208333333,2.5
1999,Army,0,NA,MSA,Other,Other Programs,M80500,LAND WARRIOR,0,Non-MDAP,0.241314554,51.4,213,12184,57.20187793,3.384444444,1.750574713,21.00689655,1.75,1.75,1.75,540,3600,6960,0,0
1999,Army,0,NA,MSA,Other,Other Programs,M80200,FORCE PROVIDER,0,Non-MDAP,6.25,25,4,28,7,0.291666667,0.212121212,2.545454545,0.21,0.21,0.21,60,96,132,0,0
1999,Army,0,NA,MSA,Other,Other Programs,MA5800,REFRIGERATION EQUIPMENT,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,1800,2400,1,12
1999,Army,0,NA,GS,WTCV,Other Programs,GZ2300,FIST VEHICLE (MOD) ,0,Non-MDAP,0.766666667,20.7,27,565,20.92592593,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1999,Army,0,NA,GS,WTCV,Other Programs,G13000,"ARMOR MACHINE GUN, 7.62MM M240 SERIES",0,Non-MDAP,0.009658247,6.5,673,8107,12.04606241,3.377916667,1.930238095,23.16285714,3.51,1.03,2.61,1080,2400,4200,1.583333333,19
1999,Army,0,NA,GS,WTCV,Other Programs,G80716,BRADLEY BASE SUSTAINMENT (M2A2/) ,0,MDAP,NA,NA,NA,1109,NA,11.55208333,4.620833333,55.45,6.04,4.05,5.47,96,96,240,1.416666667,17
1999,Army,0,NA,GS,WTCV,Other Programs,G80717,BRADLEY BASE SUSTAINMENT (M2A3) ,1,MDAP,3.734246575,272.6,73,1602,21.94520548,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1999,Army,0,NA,GS,WTCV,Other Programs,G80100,FIELD ARTILLERY AMMUNITION SUPPORT VEH ,0,Non-MDAP,NA,NA,NA,937,NA,8.675925926,5.205555556,62.46666667,7.04,4.11,5.94,72,108,180,1.833333333,22
1999,Army,0,NA,GS,WTCV,Other Programs,GA0570,IMPROVED RECOVERY VEHICLE (M88 MOD) ,0,MDAP,2.546666667,38.2,15,629,41.93333333,17.47222222,10.48333333,125.8,11.73,9.73,10.98,24,36,60,1.25,15
1999,Army,0,NA,GS,WTCV,Other Programs,GZ3250,HEAVY ASSAULT BRIDGE (HAB) SYS (MOD) ,0,Non-MDAP,5.6,50.4,9,465,51.66666667,4.84375,NA,NA,NA,NA,NA,0,96,0,2.5,30
1999,Army,0,NA,GS,WTCV,Other Programs,G12900,"MACHINE GUN, 5.56MM (SAW) ",0,Non-MDAP,0.00295082,4.5,1525,71870,47.12786885,4990.972222,2495.486111,29945.83333,2497.32,2494.57,2496.4,4.8,14.4,28.8,1.833333333,22
1999,Army,0,NA,GS,WTCV,Other Programs,G13400,"GRENADE LAUNCHER, AUTO, 40MM, MK19-3",0,Non-MDAP,0.017503587,12.2,697,20307,29.1348637,8.46125,5.640833333,67.69,7.22,4.59,6.17,1200,2400,3600,1.583333333,19
1999,Army,0,NA,GS,WTCV,Other Programs,GA0750,ABRAMS UPGRADE PROGRAM,0,MDAP,5.551666667,666.2,120,1069,8.908333333,8.908333333,3.563333333,42.76,4.73,3.1,4.26,120,120,300,1.166666667,14
1999,Army,0,NA,GS,WTCV,Other Programs,GB1302,M1A2 TANK TRAINING DEVICES,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,6
1999,Army,0,NA,GS,WTCV,Other Programs,G14900,M16 RIFLE,0,Non-MDAP,0.000423228,6.8,16067,615934,38.33534574,4277.319444,1901.030864,22812.37037,1903.2,1900.07,1902.23,24,144,324,2.166666667,26
1999,Army,0,NA,GS,WTCV,Other Programs,G14904,5.56 CARBINE M4,0,Non-MDAP,0.000621619,5.4,8687,108652,12.50742489,4527.166667,1131.791667,13581.5,1132.96,1131.5,1132.67,6,24,96,1.166666667,14
1999,Army,0,NA,GS,WTCV,Other Programs,GZ2300,FIST VEHICLE (MOD),0,Non-MDAP,0.766666667,20.7,27,565,20.92592593,NA,NA,NA,NA,NA,NA,0,0,0,0,0
